189.86,196.68,184.57,190.92,162.63,154.25,174.8,170.89,170.52,172.71,160.13,183.93,149.67,164.68,183.09,189.12,174.23,191.81,187.19,190.29,161.84,172.42,186.36,160.8
199.85,192.06,176.91,172.86,156.1,172.29,187.49,173.97,173.97,172.34,148.6,171.24,161.95,163.9,185.41,192.58,170.77,180.66,177.57,181.08,164.92,190.86,205.97,175.79
184.48,193.6,188.4,173.23,165.68,176.53,186.71,175.47,183.58,180.41,164.34,158.58,163.87,188.5,172.34,176.81,150.79,153.39,168.34,173.76,155.72,177.8,177.91,173.12
202.17,187.07,203.01,174.77,171.84,169.99,179.04,174.72,180.88,178.87,168.58,153.96,182.68,163.14,178.09,154.53,172.31,186.82,161.43,173.76,155.72,177.04,170.59,176.57
201.38,188.61,195.72,164.41,170.3,185.35,180.58,161.65,176.26,180.79,163.21,165.08,186.93,145.46,181.17,194.87,193.04,169.92,166.05,162.23,167.62,178.2,160.6,173.49
179.87,184.02,177.66,180.93,155.69,180.74,174.43,168.19,176.67,174.63,183.19,176.24,163.87,153.53,174.64,171.81,174.23,172.96,177.2,163.4,169.92,166.67,174.83,166.21
190.64,200.51,180.36,175.56,166.84,191.13,159.82,179.34,172.06,184.24,179.33,193.14,148.5,173.51,144.29,183.72,182.3,172.21,183.73,158.4,162.25,170.88,170.22,175.03
201.79,212.04,176.91,172.86,175.29,184.98,162.52,196.99,173.59,172.34,161.29,177.02,181.93,171.22,170.05,199.11,178.44,179.12,182.57,156.48,162.25,170.88,190.57,187.32
186.81,203.59,179.2,171.32,171.84,186.14,165.22,179.72,173.59,169.26,180.49,172.03,187.3,182.75,141.62,207.56,188.43,171.46,163.34,172.63,163.38,179.33,182.53,171.2
206.38,214.37,196.85,193.62,184.53,176.15,170.22,173.56,180.51,161.56,168.58,167.41,171.15,169.68,169.27,186.04,167.31,161.47,169.12,173.76,175.7,177.8,178.67,181.57
181.81,182.48,183.41,179.77,186.45,179.61,159.06,188.54,193.95,164.64,174.74,176.61,180.77,184.66,170.43,167.6,175.77,167.59,192.56,167.64,178.37,155.9,167.92,191.93
192.56,195.93,171.13,190.54,180.29,178.07,179.42,155.53,177.8,191.53,197.01,173.53,183.85,176.59,166.97,184.13,186.13,194.11,172.2,161.48,185.28,163.6,171,183.11
201.38,182.48,191.48,173.23,192.19,167.7,191.7,172.43,161.28,193.07,181.27,193.14,193.84,186.58,161.19,166.06,180.76,194.48,180.24,161.86,159.17,170.88,203.26,169.66
199.47,187.85,169.59,167.86,179.91,200.34,189.41,167.81,181.26,172.71,187.02,200.05,166.95,167.35,164.65,176.43,192.29,195.27,174.12,184.16,173.37,168.21,190.2,173.87
198.71,193.6,183.41,172.1,177.59,167.7,184.79,196.62,190.12,178.46,179.73,195.84,194.21,188.12,173.88,183.34,167.31,170.67,174.12,178.38,151.47,165.14,171.38,170.04
