271.31,118.97,309.79,122.76,281.17,128.39,275.73,135.88,248.29,114.04,278.65,122.66,279.57,123.06,267.53,125.79,266.01,134.66,273.55,106.94,278.01,114.04,249.44,110.39,253.59,112.35,289.07,131.32,284.87,112.8,264.01,127.67,270.06,122.14,276.17,156.02,286.3,104.65,264.06,125.56,272.81,118.11,287.72,132.82,280.88,133.38,285.31,139.1
275.16,138.95,304.02,122.37,268.88,145.31,257.67,126.28,257.51,135.57,289.04,114.21,298,146.12,274.06,119.65,264.85,129.67,263.55,140.75,284.93,134.78,283.25,122.29,282.42,114.27,286.01,99.812,276.4,118.17,260.93,113.06,268.9,120.98,283.09,149.1,269,108.12,272.14,122.11,273.58,119.27,279.66,131.29,303.15,117.64,267.26,135.25
286.29,123.58,293.28,135.05,293.09,124.57,256.52,120.14,277.88,123.65,307.1,124.21,289.55,129.59,300.2,115.81,259.48,125.82,270.1,145.74,276.85,140.94,289.38,134.59,266.67,128.09,288.69,95.969,292.54,119.7,272.09,130.75,275.43,129.06,286.54,154.1,267.08,129.63,276.75,125.56,279.74,153.46,279.66,151.66,296.25,121.48,266.12,127.96
275.53,120.5,307.1,145.43,295.11,122.26,277.26,122.43,287.86,137.49,269.83,97.306,262.27,132.28,288.28,115.81,263.33,130.82,262.02,143.45,289.14,135.55,254.82,130.74,297.79,141.94,273.32,103.65,315.98,119.33,271.69,113.45,278.12,103.69,278.85,126.81,276.69,120.02,279.06,115.19,268.97,151.54,291.96,125.91,292.01,113.4,281.47,119.9
267.08,124.34,297.12,132.35,297.8,126.1,291.47,129.75,275.96,134.8,310.69,119.6,257.67,133.83,270.61,123.1,273.7,136.59,260.1,141.14,300.67,137.47,267.5,141.51,285.49,136.17,277.56,120.16,285.24,133.92,280.15,124.59,271.19,128.28,266.19,141.81,302.04,121.55,282.12,131.7,267.05,148.09,292.72,146.27,283.56,114.93,303,121.43
275.92,126.64,293.28,132.74,298.19,127.26,288.79,129.75,270.56,118.67,309.93,126.89,282.25,124.22,295.2,135.02,269.09,135.82,285.84,145.37,308.28,161.68,278.25,141.9,252.83,142.7,295.62,143.98,288.36,140.47,281.3,103.85,280.43,134.43,277.72,136.04,282.45,111.18,256.38,115.56,299.32,146.54,303.93,154.34,316.99,113.4,279.55,109.9
287.06,130.11,313.26,126.98,302.41,117.26,300.95,128.59,275.56,113.28,306.46,146.48,306.45,134.96,290.59,148.08,278.7,129.67,314.27,146.14,310.97,146.7,290.93,131.53,334.22,141.17,307.12,125.55,292.59,134.7,292.83,112.3,284.64,155.57,283.85,136.81,279.37,112.33,270.22,123.64,300.87,140.77,295.48,138.58,314.62,146.83,292.23,122.59
280.92,129.72,292.12,135.05,289.35,124.18,312.48,131.67,306.49,122.12,298.01,127.66,279.94,148.04,285.22,128.47,286.38,152.72,300.05,135.37,296.36,111.35,306.88,141.9,324.98,133.49,292.91,103.26,297.96,121.63,278.99,117.67,294.25,131.35,249.29,119.14,274.37,116.94,293.4,143.62,315,116.58,296.62,145.13,322.31,133.38,318.24,136.04
293.98,141.64,285.97,161.56,317.4,126.86,327.08,159.7,308.41,129.8,312.22,124.21,278.41,127.28,287.9,136.55,324.12,134.27,291.99,126.92,290.22,109.43,305.33,133.06,323.85,134.25,322.57,125.16,316.79,115.49,278.62,121.51,319.7,155.94,291.54,142.57,305.36,120.02,306.07,147.07,318.08,119.66,314.68,128.21,290.04,132.62,311.71,132.2
288.98,123.58,315.94,136.19,312.4,129.18,302.1,141.65,311.88,122.49,318.38,144.95,312.09,128.83,294.43,124.26,314.12,124.67,294.68,133.08,295.97,122.1,319.55,125.37,326.91,145.78,328.33,133.61,306.02,132.39,332.65,144.57,320.46,133.28,298.2,136.81,294.62,137.68,315.67,125.17,314.23,124.64,309.7,121.31,291.19,146.07,323.24,129.88
288.61,126.64,298.28,120.84,323.54,147.61,310.95,143.96,318.78,145.55,296.87,142.26,306.72,141.49,305.3,140.79,307.2,110.45,296.6,148.43,301.73,140.16,316.1,115,308.85,140.78,334.08,127.48,296.81,138.55,316.51,152.65,302.78,120.98,330.08,130.28,298.44,136.16,312.61,119.41,310,110.05,297.41,128.6,305.41,129.54,317.48,132.57
277.84,148.54,294.44,130.82,300.11,140.31,325.53,165.86,301.49,153.23,296.48,140.71,326.31,162.25,302.61,148.45,314.12,121.21,315.42,150.74,311.34,110.96,326.47,134.59,313.85,148.86,316.41,136.3,294.89,134.7,314.96,152.65,294.72,134.43,304.35,155.63,318.42,128.1,300.3,111.74,316.16,121.95,309.7,132.82,325.39,140.3,316.71,152.17
301.27,124.34,300.57,143.88,312.8,137.24,293.26,150.86,308.8,153.63,314.93,129.97,320.17,134.2,293.01,135.79,326.41,135.04,295.44,125.77,313.65,134.02,313.78,145.74,319.22,148.46,318.33,119.79,294.12,118.17,311.12,119.22,305.48,115.98,295.88,146.02,326.89,130.39,290.71,119.41,319.23,124.64,306.23,132.82,328.47,145.67,304.79,139.49
294.74,140.48,305.18,144.27,302.03,114.18,291.73,138.2,299.56,139.02,292.64,129.19,302.88,132.28,300.3,140.39,298.75,142.35,317.74,131.92,315.57,141.7,324.17,141.51,303.08,134.25,337.92,126.32,285.28,123.17,304.22,130.75,304.7,134.43,298.96,165.63,302.68,132.7,305.69,154.76,322.29,130.03,294.7,127.84,304.64,152.97,314.79,132.96
299.35,139.32,292.89,152.72,292.43,137.24,294.42,143.96,322.25,151.7,319.14,129.97,301.35,146.49,311.07,138.86,320.65,147.33,306.97,124.61,296.75,137.47,315.7,153.43,304.24,146.54,298.35,122.87,304.89,136.23,306.51,135.73,303.56,137.12,308.18,143.73,303.44,145.37,307.99,162.07,327.68,148.09,306.23,145.89,302.72,154.52,326.32,139.1
301.27,130.48,297.12,138.5,298.56,143,313.63,138.2,306.11,135.18,317.61,152.63,302.48,153.41,312.99,130.39,297.22,127.35,309.66,154.59,313.26,132.49,309.96,154.19,318.46,148.86,302.59,135.16,305.26,142.76,313.81,138.43,302.01,123.3,327.39,147.18,283.46,149.21,291.48,152.83,316.16,133.48,308.54,115.54,301.96,152.59,309.79,126.8
